Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews	IMSLP_URL	IMSLP_Exists
Paule Maurice	1910	1967.0	French			https://en.wikipedia.org/wiki/Paule_Maurice	4560.0	https://imslp.org/wiki/Category:Maurice,_Paule	True
Ikuma Dan	1924	2001.0	Japanese	Symphony No. 4 (1965), Sonata for flute and piano (1986)	atonality	https://en.wikipedia.org/wiki/Ikuma_Dan	4559.0	https://imslp.org/wiki/Category:Dan,_Ikuma	False
Herbert Brewer	1865	1928.0	English			https://en.wikipedia.org/wiki/Herbert_Brewer	4558.0	https://imslp.org/wiki/Category:Brewer,_Herbert	False
Charles Amirkhanian	1945		American			https://en.wikipedia.org/wiki/Charles_Amirkhanian	4557.0	https://imslp.org/wiki/Category:Amirkhanian,_Charles	False
Chinary Ung	1942		Cambodian			https://en.wikipedia.org/wiki/Chinary_Ung	4553.0	https://imslp.org/wiki/Category:Ung,_Chinary	False
Bent Sørensen	1958		Danish			https://en.wikipedia.org/wiki/Bent_S%C3%B8rensen_(composer)	4546.0	https://imslp.org/wiki/Category:Sørensen,_Bent	False
Leone Sinigaglia	1868	1944.0	Italian			https://en.wikipedia.org/wiki/Leone_Sinigaglia	4536.0	https://imslp.org/wiki/Category:Sinigaglia,_Leone	True
Robert Erickson	1917	1997.0	American		twelve tone,extended technique	https://en.wikipedia.org/wiki/Robert_Erickson	4526.0	https://imslp.org/wiki/Category:Erickson,_Robert	False
Kazimierz Serocki	1922	1981.0	Polish			https://en.wikipedia.org/wiki/Kazimierz_Serocki	4521.0	https://imslp.org/wiki/Category:Serocki,_Kazimierz	False
Quincy Porter	1897	1966.0	American	2 symphonies, 9 string quartets, Piano Quintet,Concerto concertantefor two pianos and orchestra		https://en.wikipedia.org/wiki/Quincy_Porter	4521.0	https://imslp.org/wiki/Category:Porter,_Quincy	True
Henri Marteau	1874	1934.0	French			https://en.wikipedia.org/wiki/Henri_Marteau	4520.0	https://imslp.org/wiki/Category:Marteau,_Henri	True
Svitlana Azarova	1976		Ukrainian Dutch	Diagramfor 5 cellos		https://en.wikipedia.org/wiki/Svitlana_Azarova	4517.0	https://imslp.org/wiki/Category:Azarova,_Svitlana	False
